City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Poso,ID,80.85,light rain,-1.3959,120.7524,Hotel 77 Poso
1,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
2,Bluff,NZ,56.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
4,New Norfolk,AU,72.66,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Ushuaia,AR,51.46,few clouds,-54.8,-68.3,Albatross Hotel
9,Kruisfontein,ZA,66.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
11,Minab,IR,67.33,clear sky,27.1467,57.0801,Bam campground
13,Chuy,UY,66.36,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
14,Kaohsiung,TW,60.75,scattered clouds,22.6163,120.3133,御宿商旅-中山館
15,Port Macquarie,AU,72.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
19,Mar Del Plata,AR,62.1,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
20,Hilo,US,78.53,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Abonnema,NG,78.13,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
23,Fortuna,US,63.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
24,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Hobart,AU,71.06,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
28,Castro,BR,65.59,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
29,Port Alfred,ZA,70.2,broken clouds,-33.5906,26.891,The Halyards Hotel
31,Gat,IL,52.39,broken clouds,31.61,34.7642,OlusHome
32,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
35,Mataura,NZ,56.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
37,Sola,VU,82.35,overcast clouds,-13.8833,167.55,Leumerus Bungalows
39,Rio Grande,BR,73.94,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
41,Sweetwater,US,75.22,scattered clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
42,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
43,Hirara,JP,61.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
44,Broken Hill,AU,76.87,clear sky,-31.95,141.4333,Royal Exchange Hotel
45,Touros,BR,79.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
46,Saint George,US,59.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Meulaboh,ID,76.01,overcast clouds,4.1363,96.1285,Kost Pria
49,Dunedin,NZ,53.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
50,Morro Bay,US,70.34,overcast clouds,35.3658,-120.8499,Inn at Morro Bay
51,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
52,Hermanus,ZA,70.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
53,Rikitea,PF,79.45,broken clouds,-23.1203,-134.9692,People ThankYou
54,Salalah,OM,71.69,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
56,Rondonopolis,BR,75.61,broken clouds,-16.4708,-54.6356,Serras Hotel
57,Hithadhoo,MV,81.59,scattered clouds,-0.6,73.0833,Scoop Guest House
58,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
59,Busselton,AU,69.04,few clouds,-33.65,115.3333,Observatory Guest House
60,Kaitangata,NZ,56.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
63,Cape Town,ZA,68.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
64,Matamoros,MX,59.11,few clouds,25.5333,-103.25,Quinta Belem
65,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
67,Sao Joao Da Barra,BR,77.47,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
71,San Patricio,US,50.68,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
73,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
74,Buchanan,LR,80.69,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
76,East London,ZA,69.8,light rain,-33.0153,27.9116,Tu Casa
77,Bandarbeyla,SO,74.07,broken clouds,9.4942,50.8122,JABIR HOTEL
78,Dingle,PH,78.15,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Joao Pinheiro,BR,71.1,heavy intensity rain,-17.7425,-46.1725,Hotel Santos
81,Harper,LR,79.52,clear sky,4.375,-7.7169,Screensaver
82,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
83,Calvinia,ZA,76.53,clear sky,-31.4707,19.776,Die Lemoenhuis
85,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
87,Richards Bay,ZA,71.65,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
90,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
91,Lethem,GY,80.92,overcast clouds,3.3803,-59.7968,Savannah Inn
92,Jalu,LY,54.97,clear sky,29.0331,21.5482,صاحبة الفخامة
94,Ponta Do Sol,PT,67.01,clear sky,32.6667,-17.1,Hotel do Campo
95,Namibe,AO,73.08,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
96,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
97,Itupiranga,BR,74.21,overcast clouds,-5.1347,-49.3267,Hotel Panorama
99,Petatlan,MX,84.0,clear sky,17.5167,-101.2667,Hotel California Petatlán
101,Mbaiki,CF,70.34,overcast clouds,3.8678,17.9892,Motel MBM
102,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
103,Manokwari,ID,81.32,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
104,Nelson Bay,AU,75.11,broken clouds,-32.7167,152.15,Mantra Nelson Bay
105,San Carlos De Bariloche,AR,67.75,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
106,Cabo San Lucas,MX,71.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Mayumba,GA,76.77,scattered clouds,-3.432,10.6554,LIKWALE LODGE
109,Ahuimanu,US,83.34,few clouds,21.4447,-157.8378,Paradise Bay Resort
110,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
111,Regidor,CO,83.68,scattered clouds,8.6657,-73.8215,Hotel Charles
112,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
114,Noumea,NC,84.18,few clouds,-22.2763,166.4572,Hôtel Le Lagon
115,Kudahuvadhoo,MV,80.91,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
118,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
119,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
120,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
123,Jacksonville,US,53.6,light intensity drizzle,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
125,Trincomalee,LK,78.71,broken clouds,8.5711,81.2335,Welcombe Hotel
128,Ribeira Grande,PT,59.72,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
129,Yarim,YE,52.63,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
130,Lagoa,PT,58.64,clear sky,39.05,-27.9833,Casa Das Faias
132,Japura,ID,72.79,light rain,-0.3167,102.35,Rumah mbah Jamah
133,Butaritari,KI,82.67,broken clouds,3.0707,172.7902,Isles Sunset Lodge
137,Moerai,PF,80.04,overcast clouds,-22.4333,-151.3333,Le Manotel
141,Codrington,AU,73.49,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
144,Cayenne,GF,80.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
145,Mogadishu,SO,76.44,scattered clouds,2.0371,45.3438,Hotel Juba
147,Los Llanos De Aridane,ES,67.12,clear sky,28.6585,-17.9182,Valle Aridane
149,Tuatapere,NZ,56.82,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
155,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
156,Arraial Do Cabo,BR,76.78,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
157,Kiama,AU,71.38,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
158,Kavaratti,IN,78.01,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
160,El Viejo,NI,81.36,broken clouds,12.6633,-87.1672,Hotel El Viejo Inn
161,Tepeapulco,MX,60.82,scattered clouds,19.7833,-98.55,TRANSPORTES DEL VALLE
162,Maragogi,BR,78.3,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
165,Vangaindrano,MG,77.05,moderate rain,-23.35,47.6,Hotel Fanilo
167,Vanimo,PG,82.94,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
170,Bredasdorp,ZA,68.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
171,Sajanan,TN,50.27,overcast clouds,37.0573,9.2426,Centre de culture du tabac sejenene
176,Omboue,GA,76.66,clear sky,-1.5746,9.2618,Hotel Olako
177,Le Port,RE,78.8,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
179,Ambilobe,MG,72.68,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
181,Ponta Delgada,PT,60.49,few clouds,37.7333,-25.6667,Vila Nova Hotel
183,Sulangan,PH,80.33,broken clouds,11.1373,123.7228,Maia's Beach Resort
184,Sibolga,ID,74.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
185,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
187,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
190,Beberibe,BR,82.44,clear sky,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
191,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
192,Pemba,MZ,76.87,overcast clouds,-12.974,40.5178,Guesthouse Samotina
193,San Quintin,MX,61.32,clear sky,30.4833,-115.95,Don Eddie's Landing
194,Kaliua,TZ,64.09,light rain,-5.0606,31.7936,Millennium Complex
197,Wanning,CN,66.11,overcast clouds,18.8003,110.3967,Paradise Hotel
201,Aloleng,PH,78.55,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
202,Portland,US,53.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
203,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Poutur Pousada
206,Port Elizabeth,ZA,69.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
209,Guerrero Negro,MX,66.56,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
212,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
213,Sao Miguel Do Araguaia,BR,75.94,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
214,Faanui,PF,81.16,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
216,Ewo,CG,78.85,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
219,Pacific Grove,US,66.58,clear sky,36.6177,-121.9166,Lovers Point Inn
224,Gorontalo,ID,78.8,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
225,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
226,Platanos,GR,52.09,broken clouds,37.6667,21.6167,Hotel Kronio
227,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
228,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
229,Hualmay,PE,70.83,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
230,Balabac,PH,80.47,scattered clouds,7.9868,117.0645,Batalla’s Lodging House
231,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
232,Peniche,PT,53.74,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
233,Khorramshahr,IR,51.76,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
237,Cockburn Town,TC,75.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
238,Keffi,NG,73.78,clear sky,8.8486,7.8736,Imam Family
239,Lebu,CL,59.47,clear sky,-37.6167,-73.65,Hostal Las Lilas
240,Rock Sound,BS,74.23,clear sky,24.9,-76.2,Pink Corral Bay Property
241,Talcahuano,CL,62.02,clear sky,-36.7167,-73.1167,departamento comodo
244,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
246,Mount Gambier,AU,76.91,broken clouds,-37.8333,140.7667,The Commodore
249,Daru,PG,83.68,overcast clouds,-9.0763,143.2092,Daru Lodge
253,Imbituba,BR,76.89,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
254,Caravelas,BR,77.41,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
256,Cidreira,BR,74.16,overcast clouds,-30.1811,-50.2056,Hotel Castelo
260,Lompoc,US,73.71,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
262,Chibuto,MZ,72.45,light rain,-24.6867,33.5306,Residência Masculina da Escola Superior de Negocios e Empreendedorismo de Chibuto
263,Nago,JP,59.45,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
264,Rodrigues Alves,BR,75.04,broken clouds,-7.7379999999999995,-72.6509,Pousada Aconchego
270,Basco,PH,72.63,broken clouds,20.4487,121.9702,Nathaniel's Lodge
