City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Poso,ID,-1.3959,120.7524,80.85,75,98,2.57,light rain
1,Kununurra,AU,-15.7667,128.7333,80.58,89,40,3.44,scattered clouds
2,Bluff,NZ,-46.6,168.3333,56.8,62,61,10.47,broken clouds
3,Punta Arenas,CL,-53.15,-70.9167,57.31,58,75,14.97,broken clouds
4,New Norfolk,AU,-42.7826,147.0587,72.66,45,75,2.68,broken clouds
5,Thinadhoo,MV,0.5333,72.9333,81.63,71,21,7.02,few clouds
6,Pszow,PL,50.0399,18.3947,35.42,81,78,13.53,broken clouds
7,Bethel,US,41.3712,-73.414,22.57,69,0,3.0,clear sky
8,Ushuaia,AR,-54.8,-68.3,51.46,62,20,27.63,few clouds
9,Kruisfontein,ZA,-34.0033,24.7314,66.88,79,61,13.18,broken clouds
10,Albany,US,42.6001,-73.9662,14.09,59,5,4.0,clear sky
11,Minab,IR,27.1467,57.0801,67.33,85,4,9.62,clear sky
12,Poum,NC,-20.2333,164.0167,78.76,87,100,7.27,overcast clouds
13,Chuy,UY,-33.6971,-53.4616,66.36,90,55,10.16,broken clouds
14,Kaohsiung,TW,22.6163,120.3133,60.75,77,40,4.0,scattered clouds
15,Port Macquarie,AU,-31.4333,152.9167,72.9,63,96,16.15,overcast clouds
16,Saskylakh,RU,71.9167,114.0833,-31.34,100,99,3.18,overcast clouds
17,Nizhniy Kuranakh,RU,58.8353,125.4869,-10.68,98,100,3.27,overcast clouds
18,Ereymentau,KZ,51.6199,73.1033,2.46,66,10,4.99,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,62.1,76,75,5.01,broken clouds
20,Hilo,US,19.7297,-155.09,78.53,78,100,9.22,moderate rain
21,Batsfjord,NO,70.6345,29.7185,23.22,84,80,22.3,broken clouds
22,Abonnema,NG,4.7084,6.7931,78.13,82,16,4.54,few clouds
23,Fortuna,US,40.5982,-124.1573,63.93,65,0,5.01,clear sky
24,Mahebourg,MU,-20.4081,57.7,79.25,89,40,11.5,scattered clouds
25,Hobart,AU,-42.8794,147.3294,71.06,53,40,1.01,scattered clouds
26,Talnakh,RU,69.4865,88.3972,-16.6,100,100,2.84,overcast clouds
27,Thompson,CA,55.7435,-97.8558,-12.84,70,75,4.61,broken clouds
28,Castro,BR,-24.7911,-50.0119,65.59,97,79,1.54,broken clouds
29,Port Alfred,ZA,-33.5906,26.891,70.2,86,73,25.88,broken clouds
30,Severo-Kurilsk,RU,50.6789,156.125,29.62,81,95,7.43,overcast clouds
31,Gat,IL,31.61,34.7642,52.39,100,82,8.05,broken clouds
32,Georgetown,MY,5.4112,100.3354,79.9,89,20,2.3,few clouds
33,Beloha,MG,-25.1667,45.05,73.62,91,100,20.13,light rain
34,Khatanga,RU,71.9667,102.5,-20.45,98,99,3.78,overcast clouds
35,Mataura,NZ,-46.1927,168.8643,56.48,53,97,3.8,overcast clouds
36,Deputatskiy,RU,69.3,139.9,-30.37,98,97,2.91,overcast clouds
37,Sola,VU,-13.8833,167.55,82.35,80,99,20.38,overcast clouds
38,Jamestown,US,42.097,-79.2353,15.12,61,0,0.0,clear sky
39,Rio Grande,BR,-32.035,-52.0986,73.94,79,37,2.55,light rain
40,Yellowknife,CA,62.456,-114.3525,-13.59,86,97,5.99,overcast clouds
41,Sweetwater,US,25.7634,-80.3731,75.22,81,40,8.05,scattered clouds
42,Luanda,AO,-8.8368,13.2343,77.0,83,20,6.91,few clouds
43,Hirara,JP,24.8,125.2833,61.07,63,75,14.97,broken clouds
44,Broken Hill,AU,-31.95,141.4333,76.87,33,3,17.36,clear sky
45,Touros,BR,-5.1989,-35.4608,79.9,70,27,11.92,scattered clouds
46,Saint George,US,37.1041,-113.5841,59.47,18,0,1.99,clear sky
47,Meulaboh,ID,4.1363,96.1285,76.01,83,96,4.52,overcast clouds
48,Airai,TL,-8.9266,125.4092,68.41,74,82,1.9,broken clouds
49,Dunedin,NZ,-45.8742,170.5036,53.8,66,68,4.0,broken clouds
50,Morro Bay,US,35.3658,-120.8499,70.34,36,98,7.29,overcast clouds
51,Kapaa,US,22.0752,-159.319,79.48,65,0,1.99,clear sky
52,Hermanus,ZA,-34.4187,19.2345,70.9,86,14,12.5,few clouds
53,Rikitea,PF,-23.1203,-134.9692,79.45,71,71,12.24,broken clouds
54,Salalah,OM,17.0151,54.0924,71.69,73,40,3.44,scattered clouds
55,Iqaluit,CA,63.7506,-68.5145,-27.67,62,40,4.61,scattered clouds
56,Rondonopolis,BR,-16.4708,-54.6356,75.61,87,72,0.89,broken clouds
57,Hithadhoo,MV,-0.6,73.0833,81.59,72,36,6.73,scattered clouds
58,Pisco,PE,-13.7,-76.2167,69.85,83,0,8.05,clear sky
59,Busselton,AU,-33.65,115.3333,69.04,71,16,7.43,few clouds
60,Kaitangata,NZ,-46.2817,169.8464,56.93,55,94,6.69,overcast clouds
61,Merrill,US,45.1805,-89.6835,15.57,63,0,4.61,clear sky
62,Gavrilov-Yam,RU,57.3018,39.8533,-2.36,100,83,4.23,broken clouds
63,Cape Town,ZA,-33.9258,18.4232,68.41,70,0,1.01,clear sky
64,Matamoros,MX,25.5333,-103.25,59.11,33,20,2.3,few clouds
65,Avarua,CK,-21.2078,-159.775,82.45,78,75,17.27,broken clouds
66,Blairmore,CA,49.6,-114.4353,38.79,41,80,8.05,broken clouds
67,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.47,84,17,26.04,few clouds
68,Seondha,IN,26.1578,78.7797,47.03,80,0,0.54,clear sky
69,Markova,UA,48.6758,24.4138,24.89,86,57,6.98,broken clouds
70,Chokurdakh,RU,70.6333,147.9167,-32.08,100,100,1.92,overcast clouds
71,San Patricio,US,28.017,-97.5169,50.68,42,0,5.39,clear sky
72,Port Augusta,AU,-32.5,137.7667,87.71,25,90,9.35,overcast clouds
73,Atuona,PF,-9.8,-139.0333,78.33,79,11,21.99,light rain
74,Buchanan,LR,5.8808,-10.0467,80.69,83,55,6.64,broken clouds
75,Pouembout,NC,-21.1333,164.9,85.3,66,73,5.93,broken clouds
76,East London,ZA,-33.0153,27.9116,69.8,87,100,17.31,light rain
